"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.7093195375767e-24,0.567734535934117,0.502,0.357,3.59039025119664e-20,"1","Nab1"
2.96539035925041e-24,0.375182909060239,0.777,0.647,3.92973530407865e-20,"1","Spn"
4.74529674406144e-24,0.704267460366134,0.367,0.235,6.28846724523022e-20,"1","Ifitm10"
6.7902844926258e-24,0.617524253943008,0.437,0.295,8.9984850096277e-20,"1","Anxa5"
8.62054847879966e-24,0.587859463780447,0.516,0.379,1.14239508441053e-19,"1","Prrc2b"
8.67075195793219e-24,0.463650260612628,0.624,0.481,1.14904804946517e-19,"1","Sh2d2a"
9.59052288272268e-24,0.9499582201187,0.268,0.155,1.27093609241841e-19,"1","Tmc6"
1.08645673835912e-23,0.690618434541449,0.381,0.249,1.4397724696735e-19,"1","B3gat3"
4.64522158366584e-23,0.769986685234325,0.304,0.182,6.15584764267398e-19,"1","Alg5"
5.59273400307706e-23,0.659817920641478,0.387,0.254,7.41149110087772e-19,"1","Gm12216"
6.00612240588053e-23,0.572048040020171,0.402,0.26,7.95931341227287e-19,"1","Snf8"
7.41636840367493e-23,0.790576561581339,0.348,0.226,9.82817140855002e-19,"1","Ngly1"
1.18221499918065e-22,0.526744372428866,0.455,0.307,1.5666713169142e-18,"1","Eloc"
1.19058380562635e-22,0.595213067623719,0.439,0.302,1.57776165921604e-18,"1","Mvb12a"
1.41615371948278e-22,0.300404700623973,0.909,0.799,1.87668690905857e-18,"1","Cd48"
1.44493944912146e-22,0.376740398940318,0.757,0.637,1.91483375797576e-18,"1","Bin2"
1.4800907618991e-22,0.791328362308239,0.281,0.165,1.96141627766868e-18,"1","Mrpl40"
1.74758758898728e-22,0.5686914574951,0.499,0.36,2.31590307292594e-18,"1","Mkrn1"
2.63677075600381e-22,0.562601640429835,0.542,0.413,3.49424860585624e-18,"1","Cast"
3.66628075155945e-22,0.79981258040608,0.265,0.153,4.85855525196658e-18,"1","Nlrc3"
5.42520746190563e-22,0.673162582837181,0.367,0.238,7.18948492851734e-18,"1","Cers4"
5.46856488614926e-22,0.366162773465246,0.737,0.603,7.246942187125e-18,"1","Ifngr1"
5.69301666029777e-22,0.707695374493117,0.319,0.197,7.5443856782266e-18,"1","Rtn4"
6.35036967686545e-22,0.685133727351125,0.351,0.226,8.4155098957821e-18,"1","Anxa11"
6.7731966978996e-22,0.653102790476151,0.351,0.223,8.97584026405655e-18,"1","Snapc5"
7.18779848043577e-22,0.585353406275529,0.359,0.233,9.52527054627349e-18,"1","Ifng"
7.41970159854121e-22,0.516969324650769,0.562,0.437,9.83258855838681e-18,"1","Fam107b"
8.06321722260194e-22,0.882944474646715,0.25,0.144,1.06853754633921e-17,"1","Smpdl3b"
8.15714772359246e-22,0.666528865975774,0.333,0.208,1.08098521633047e-17,"1","Rbm42"
8.30462011852677e-22,0.352470610765695,0.807,0.672,1.10052825810717e-17,"1","Gimap7"
1.14143628861642e-21,0.726244837776532,0.31,0.192,1.51263136967447e-17,"1","Snx17"
1.34012269513487e-21,0.313941778762142,0.851,0.729,1.77593059559273e-17,"1","Apbb1ip"
1.52685416952039e-21,0.595787274612747,0.347,0.217,2.02338714544842e-17,"1","Ebp"
1.63141153664978e-21,0.720260849913564,0.304,0.186,2.16194656836829e-17,"1","Ube2j2"
1.7348390343914e-21,0.543428234318324,0.521,0.389,2.29900868837549e-17,"1","Myo1f"
1.98810362425653e-21,0.789460279239805,0.27,0.159,2.63463492286476e-17,"1","Mcrs1"
2.6818854175545e-21,0.550818788242611,0.487,0.352,3.55403455534323e-17,"1","Fryl"
2.83340834484554e-21,0.711221008679478,0.314,0.195,3.75483273858931e-17,"1","Imp3"
2.97699608921499e-21,0.543990407852175,0.461,0.329,3.9451152174277e-17,"1","Dusp2"
3.36798035232917e-21,0.690275967453641,0.391,0.269,4.46324756290662e-17,"1","Tnfrsf18"
3.4787759590023e-21,0.397304781423942,0.632,0.468,4.61007390086985e-17,"1","Atp6v0e"
3.69508693888145e-21,0.766375431681946,0.274,0.162,4.8967292114057e-17,"1","Pdcl3"
4.10762279949813e-21,0.409546979486626,0.69,0.568,5.44342173389492e-17,"1","Mrps16"
4.13677841434165e-21,0.693722484157603,0.367,0.246,5.48205875468556e-17,"1","Mical1"
4.63223896919556e-21,0.546472562371196,0.404,0.267,6.13864308197796e-17,"1","Sf3b5"
4.68962890937744e-21,0.451206089832693,0.659,0.537,6.21469623070699e-17,"1","Cd247"
7.71565098468858e-21,0.585668737967628,0.486,0.358,1.02247806849093e-16,"1","Kif21b"
7.88364303680151e-21,0.731806915227397,0.261,0.152,1.04474037523694e-16,"1","1500011B03Rik"
9.86298578879446e-21,0.466504257667781,0.559,0.421,1.30704287673104e-16,"1","Arhgef18"
1.15648990353553e-20,0.380774383641897,0.682,0.546,1.53258042016529e-16,"1","Ywhah"
1.2075765560942e-20,0.447425165377997,0.661,0.536,1.60028045213603e-16,"1","Stk24"
1.42810088271017e-20,0.598456939380966,0.368,0.24,1.89251928976752e-16,"1","Psmd14"
1.9019939317712e-20,0.622951544202528,0.407,0.281,2.5205223583832e-16,"1","Dhrs7"
2.07852492555604e-20,0.656616398320459,0.327,0.208,2.75446123134686e-16,"1","Psmc6"
2.09907287582179e-20,0.632787856238823,0.425,0.302,2.78169137503904e-16,"1","Ctse"
